,z_centroid/z_shape,x_centroid/x_shape,y_centroid/y_shape,z_max/z_shape,x_max/x_shape,y_max/y_shape,z_min/z_shape,x_min/x_shape,y_min/y_shape,z_length/z_shape,x_length/x_shape,y_length/y_shape,iou_on_xoy,distance_nearest_centroid,point_count,mean_z_distance_on_xoy,std_z_distance_on_xoy,std_z_distance_div_mean_z_distance,median_z_distance_on_xoy,skew_z_distance_on_xoy,kurt_z_distance_on_xoy,quantile_down_z_distance_on_xoy,quantile_up_z_distance_on_xoy,mean_x_distance_on_zoy,std_x_distance_on_zoy,median_x_distance_on_zoy,std_x_distance_div_mean_x_distance,skew_x_distance_on_zoy,kurt_x_distance_on_zoy,quantile_down_x_distance_on_zoy,quantile_up_x_distance_on_zoy,mean_y_distance_on_zox,std_y_distance_on_zox,median_y_distance_on_zox,std_y_distance_div_mean_y_distance,skew_y_distance_on_zox,kurt_y_distance_on_zox,quantile_down_y_distance_on_zox,quantile_up_y_distance_on_zox,max_nonzero_internal,target,class_id
0,0.4980808414345297,0.9089672132255079,0.30898252678183363,0.9961089494163424,0.9348484848484848,0.4666666666666667,0.0,0.8666666666666667,0.1606060606060606,1.0,0.0696969696969697,0.30757575757575756,0.11619190404797601,0.10875551258579015,148017,161.93179723502305,77.04827255364836,0.4758101747715875,173.0,-0.5771881808409328,-0.8338494135389518,101.0,232.0,2.2062016174371837,1.0151587719013284,2.0,0.4603833033980857,-0.5671322167947505,-0.523807254297286,1.0,3.0,12.897471137987905,7.65712512138049,13.0,0.5937234761743335,0.3911615205212076,-0.36559802322245005,7.0,18.0,1,0,7
0,0.5307666280953467,0.9315536878143262,0.6801154516740575,0.9961089494163424,0.9409090909090909,0.7757575757575758,0.0,0.9151515151515152,0.5848484848484848,1.0,0.02727272727272727,0.19242424242424241,0.33858267716535434,0.45985680084606356,109861,169.44573643410854,83.21164291957086,0.4910843647433076,183.5,-0.5640218309902985,-0.9632500161084461,98.25,255.0,2.65233805802093,1.0213525109308845,3.0,0.38530804917238326,-0.8829363030717796,0.28875874945769153,2.0,3.0,28.498709344346928,17.646019436364305,29.0,0.6191999793101289,0.17923593771975968,-0.8035690055633027,14.0,41.0,1,0,9
0,0.25050271176805944,0.7734869196018278,0.29173468991495477,0.38132295719844356,0.843939393939394,0.45454545454545453,0.06614785992217899,0.6075757575757575,0.18333333333333332,0.31906614785992216,0.23787878787878788,0.2727272727272727,0.11369426751592357,18.274015884595734,23410,7.342047930283225,3.209239527543721,0.4371807944088825,8.0,-0.3560402490762287,-0.5518665866231451,5.0,10.0,10.380891719745224,4.515871196396331,10.0,0.43507207725984426,0.31873394719862225,0.40049019743866987,8.0,13.0,11.102994555353902,8.55134873838885,9.0,0.7702046948739946,1.722834269375994,3.036203337067369,6.0,13.0,22,1,31
0,0.22061237493524477,0.7833852244376172,0.696831635703829,0.30739299610894943,0.8151515151515152,0.8363636363636363,0.07782101167315175,0.7212121212121212,0.5954545454545455,0.23346303501945526,0.09545454545454546,0.24242424242424243,0.25009920634920635,8.971320315132221,17636,7.301864339547799,3.3894842772486675,0.4642677338106776,8.0,-0.364973679632287,-0.8046456255602257,5.0,10.0,9.156937799043062,7.340273778874588,8.0,0.801629574252153,3.2186825509055255,11.918870810429633,6.0,9.0,16.34228702993093,12.200178160438035,12.0,0.7465559491241217,1.008497552690546,0.4486713573100851,8.0,24.0,15,1,34
0,0.20533761840685563,0.8007169456095906,0.3593378739427164,0.29571984435797666,0.8242424242424242,0.46060606060606063,0.07782101167315175,0.7515151515151515,0.26666666666666666,0.22178988326848248,0.07424242424242425,0.19545454545454546,0.25011865211200757,3.537949718566427,10945,7.142314990512334,3.2277455320556983,0.4519954021828912,8.0,-0.5140803725438824,-0.6392405566260875,5.0,10.0,7.076393237319975,2.7673671273791265,7.0,0.3911563247300125,0.10449553580455684,0.40912707961777794,6.0,9.0,14.2502965599051,9.877767655444254,11.0,0.6931837825364878,0.6937902627578497,-0.5027037304414881,7.0,22.0,5,1,35
0,0.27482266021989543,0.7595415925186746,0.7564078962619671,0.3968871595330739,0.8348484848484848,0.8954545454545455,0.08171206225680934,0.5666666666666667,0.5954545454545455,0.31906614785992216,0.2696969696969697,0.3015151515151515,0.1203771667325391,28.89766157870695,31111,7.660178236397749,3.1991010885767937,0.41770351633033753,8.0,-0.49380972369355414,-0.47344241510771834,6.0,10.0,12.682756079587325,7.827194010850633,11.0,0.6171826359424384,1.8797284510916301,5.501018501403459,9.0,14.0,12.606534090909092,12.80746950923946,9.0,1.0159377255600885,2.9288422601453936,11.159548003758479,6.0,13.0,22,1,36
0,0.3237422877126073,0.74513001062114,0.2635822744974627,0.45136186770428016,0.8545454545454545,0.45454545454545453,0.1245136186770428,0.5121212121212121,0.1590909090909091,0.33073929961089493,0.34393939393939393,0.296969696969697,0.10842398633462196,22.802413800477424,32354,7.589759535655058,3.272068857677736,0.43119121904778934,8.0,-0.48452195545215593,-0.4879094390799317,6.0,10.0,14.24697247706422,6.964425745379055,14.0,0.48887136444091966,0.5211182309806902,0.2665123566151837,10.0,17.0,11.972537878787879,9.960778955319375,10.0,0.8319829156733615,2.6198441597897,8.151281492378333,7.0,12.0,1,1,53
0,0.3441683721826994,0.73924852006139,0.7849145090457303,0.45525291828793774,0.843939393939394,0.9045454545454545,0.12840466926070038,0.4681818181818182,0.5954545454545455,0.33073929961089493,0.37727272727272726,0.3106060606060606,0.10743461651483985,28.38382123149393,36488,7.50528811086798,3.255569356320157,0.4338455050246649,8.0,-0.5016442854781528,-0.37031210823822036,6.0,10.0,15.414720452937013,7.374578377128406,15.0,0.4784452598012185,0.40071994086030277,0.4514584259708885,11.0,19.0,15.327019828351583,22.678263257147165,9.0,1.4795951147713355,3.7366761714015695,14.16654706777464,6.0,12.0,1,1,54
0,0.38214866382041063,0.7134680708115402,0.2507772341611445,0.5097276264591439,0.8590909090909091,0.45151515151515154,0.16342412451361868,0.45,0.15303030303030302,0.35019455252918286,0.4106060606060606,0.3,0.1080919900108092,24.514460483037517,32294,7.219827586206897,2.757382660357771,0.3820036730452873,8.0,-0.8842999541301395,-0.0245688880332513,6.0,9.0,16.433826181031375,8.105613893396582,16.0,0.49325826778460313,0.3726844423968504,-0.037292025647834404,11.0,22.0,13.143924159724218,12.44365339315425,11.0,0.9467269070508917,4.0505719818751835,20.445842039687534,8.0,14.0,1,1,95
0,0.4017513060849369,0.7057141567763882,0.7975092792497047,0.5214007782101168,0.8409090909090909,0.9015151515151515,0.17898832684824903,0.453030303030303,0.5954545454545455,0.3463035019455253,0.3893939393939394,0.30757575757575756,0.11600314350884591,28.408605527470534,37939,7.285855915399868,2.805531674494517,0.38514987905322234,8.0,-0.7184897787872955,-0.017427095596732833,6.0,9.0,16.505046989209884,8.430615071276447,16.0,0.5108197666460208,0.5356055615785709,0.3103840669359692,11.0,21.0,16.82207207207207,24.71905530497166,11.0,1.469413862050163,3.4873806196903345,11.33082332180846,8.0,13.0,1,1,125
